Amazon Pro,Google Pro
Give lots of unpaid time,"Lot of opportunity for work and fun. Agree that is #1 place to work for. Good food, good peers and good projects."
Good company to work for if you don't mind working hard. Great benefits for associates.,"Lot of opportunity for work and fun. Agree that is #1 place to work for. Good food, good peers and good projects."
"Fast paced at the ship dock, it makes time go extremely fast.","salary, benefits, flexibility, culture, transparency"
"Great company to work for if you're tech oriented. The interview process was a bit thorough, but necessary, The pay was solid and I moved up within 6 months. Overall a positive employment experience.",Great atmosphere and the schedule is very flexible
"Good Training program, steady work, opportunities for advancement, good benefits","A lot of responsibility. Exciting. Fantastically smart, capable, and fun colleagues. Great salary and benefits. Lots of international travel. Entrepreneurial culture."
"Fast-paced culture where you have the opportunity to experiment and launch new ideas and innovations without bureaucracy. Generally ideas grow organically vs. are dictated from the top down which is a great opportunity for those who want to experiment with new products and features, test them, iterate and scale. Success is dependent on your ability to iterate and scale products vs. nailing it on the first launch. If???Show More","Super smart people, great infrastructure, access to lots of users. Potential for big impact."
The experience can be different for all people. Some of the good things about working here of course are the pay and the people you have a chance to meet.,"Lots of things to learn. Free food, gyms, bike, shuttle, laundry; smart people, now, what else do I miss?"
Hard workers get ahead easily.,"fun and intellectually stimulating work environment, great people"
"Lots of hours, 4 day work week (unless you have to work overtime) good benefits",Access/exposure to a lot of cool projects before they are widely known to the public and your foot in the door to landing a full time position with the company
"Great hours, flexible with class schedule",this job has really given me insight out the job game really works. I learned how to develop software in my spare time and always love the cafeteria
"there are no pros to working for amazon, besides good insurance.",I worked at Google for over 7 years. It is the longest that I have worked at any company. That is a testimonial to how good the company is! I left Google because I wanted to try my hand at starting my own company or joining an early stage start up.
"Good benefits, Paid time off, unpaid time off, medical, dental etc.","Work with some of the smartest and most creative talent around, contribute to a company that makes a significant impact in the daily lives of billions of users, enjoy all the amazing benefits and perks."
Great benefits and incentives with no probationary period.,"Very good working environment, smart people, great benefit. Also a very good work - life balance"
The environment was very fast paced with emphasis on shipping products as quickly as possible while still maintaining a high quality bar.,"Great benefits, surrounded by smart/motivated people, lots of perks, locations around the world, 401K match, health benefits are outstanding"
For the highly motivated and ambitious there is no end to learning and role opportunities.,"Amazing place to learn, grow, and have a scaled impact"
"Oh my God, this job is the best kept secret, now mind you I had to drive a little ways to get to the job site because I live in Milwaukee, and the Job is in Kenosha, but its well worth it, the pay is great and the energy is so high, you get to wear jeans, a t shirt and tennis shoes, there's a lot of walking so you get a full work out, so if you like to stay in shape, this is the place, you get paid every Friday, my d??Show More","The culture is amazing! What you read in the articles about the perks and people is absolutely true. It's great to work at a company that offers 3 meals a day Monday-Friday, where I feel comfortable around 100% of the people and where you have the ability to make your own schedule."
"Decent hours for part time. Pay is pretty good for the work. Not slave labor, nor are you treated like a slave. Very lenient on many things.",Good for most of the things
"Amazon is an amazing place to work, learn and grow - quickly. Your peers are best in class, and you will learn more in one year than you will at other companies in 10 years. Amazon pays well through salary, bonus, and most importantly - stock.",Getting to work for Google. Great culture outside of the ITRP program.
