Amazon Pro,Google Pro
"Awesome co-workers, awesome environment to work",Google is as advertised - it's an amazing place to work full of incredibly smart people working on interesting and challenging problems. The pay and perks are great. In theory there is a lot of opportunity for mobility and Google does seem committed to developing people over the course of their careers.
"Consistent hours as a direct hire. 18 hours with pay guarantee. 30 days until dental and vision. 90 days until medical, which is far better than most part-time positions out there. Free beverages in the break-room, reduced costs of snacks in the vending machines. Plenty of work when the shipments are accounted for correctly. Advancement is swift if you are open to doing anything asked of you without an attitude.",Google was a great company to work.
GREAT benefits with stock and health insurance. Pay is not outstanding but stock makes up for it.,Great Learning Opportunities
Leadership team has excellent grip on employee,Its a fun place to work
Very good quality products and usually arrives on time and when it doesn't they refund your money no questions asked,"Flexible hours, awesome benefits, amazing coworkers!"
There is always room to grow cause the company is expanding,Work with the smartest people. Fast paced. Challenging.
"I get to use some very advanced tools. Amazon is a large company so there are in-house utilities for everything. An interesting part of working at AWS is that the services are built on top of other AWS services. There are very few use cases for third-party infrastructure. If you have a problem with one of the services, you can engage with engineers on that service's team directly instead of having to go through custo??Show More","strong financial, lavish perks, smart people to learn from"
Great cultural values that makes you think about how to run the company from the management perspective. One of the best companies to develop your career and to develop strong work ethic. Lot's of former ex-Amazonians have come back.,Google is probably the best corporate environment to work in. A lot of opportunities to get exposed to things outside of your immediate job. Strong brand allows you to open many doors. Of course the perks have
"Brilliant people around , hard working , motivational teams",1. Work with smart people in a great company
"Good benefits, fairly good pay, casual environment. People bring their dogs with them to work. Nice location in downtown Seattle.","Very creative atmosphere, and the quality of people you work with is noticeably better than anywhere else."
Plenty of opportunity to learn more about Amazon and its internal tools,google has a very flexible culture. You can benefits from learning experience from other geeks.
Good health benefits. Hourly wage is very fair for the area. Working conditions are decent. I work inside most of the time.,great place to work as a fulltime/intern
Great benefits as soon as you're hired. Great management team and lots of opportunity to move up if you apply yourself. Also offers tuition assistance after one year of continuous employment and is willing to work around a school schedule.,Some of the best perks in the industry.
Extremely innovative company and intelligent co workers,"Great people (generally smart, friendly, and hard-working)"
"Lots of time off, good opportunities for advancement","Good benefits, Smart people, great culture"
Compensation was great and I loved being around very intelligent people. People listed to my ideas.,"Talented people, interesting projects, good perks and benefits."
"They give a lot of hours, simple task and a lot overtimes.",It was great. It was a different time but it was great.
Ok Money easy to get hired,"Overall work and life balance is promoted through various incentives. The people are bright and great to work with. Free breakfast and lunch! Google offers multiple perks. There's interest groups for about anything, volunteering opportunities, and projects outside your domain expertise to get involved with. You have a portal to learn various skills on your own or on your expertise at about anytime as long as you sign\342\200\246\302\240Show More"
Flexible Schedule to work around school or another job. Decent pay considering the ease of the work.,"Even though I am not an employee of Google, I still get many of the perks like food and coffee and the gym"
Great brand and clients. Unique opportunity to sell a cross platform solution to some of the largest companies in the world. New products in video make the future compelling for advertising sales.,Colleagues and managers were extremely supportive
"You work hard, but it is rewarding. There is a strong network of dedicated leaders who will help you succeed if you put in the effort.",Salary and benefits are decent
amazing company to work for,"Incredibly brilliant people, very comfortable amenities and perks. The opportunity to solve (mostly) really interesting challenges and problems at a HUGE scale."
Great if you have no brains and like following rules.,"- Work is technically challenging. Not incremental stuff, 50% devoted to ambitious work"
Lots of opportunity for interesting projects,"food, intelligent people, great access to resource and mentors"
<NA>,It's Google after all! I had a great time working there and my co-workers were quite supportive.
Smart and driven colleagues. Had great direct manager. Hard and interesting problems to solve that really matter.,- Work with top coders on the planet.
The pay is great,Free food- they have professional chefs
"I worked in the Product Compliance as a contractor, and for the most part my job was great. My part of our team was very cohesive, we were trained well, and the managers seemed to appreciate our work. They took our concerns/suggestions for improvement into account. When I had to change my work hours due to a family emergency, they were very accommodating.",Great culture.
"There are a lot of smart people, but they think they are smarter than anyone else.",perks (lots of free stuff)
The company name obviously comes with perks,Great food. Smart coworkers. Nice weather.
"Teamwork, high velocity logistics, processes, and variety embrace the experiences at an Amazon Fulfillment Center",Exciting business opportunities
Learn a lot of new things,"they were ok, good management, good environment"
Exciting product launches and hands-on training,Independent working ethics for staff
"You get good pay and great benefits. If productivity is high, you will receive a bonus of 4% as well as your own stock from day one at Amazon. Pto, Upt, and vacation time is given on your first day.","nice people, and great benefits"
Great place to build a career nice Benifits and can move up with the hard work and some manger willing to help build your portfolios.,If is full time could be perfect
"smart hard working employees, some departments manage to mitigate the giant company culture","During the time I was at Google, I have had the pleasure to work with smart, savvy, and dedicated people who truly have passions for what we do - it is contagious."
"A lot of overtime was offered. Learning the job was easy, because nobody minds lending a hand. Friendly work environment.","All benefits on food, drink. Well life-work balance and provide good environment to work."
Fast moving company. Smart people,Super awesome place I need one more word.
"Opportunities to move up, may help with education.",Everyday is an exciting challenge. The people are incredible.
If you are hired as an Amazonian you will get a pay check every 2 weeks. If you are a go-getter and can impress the managers you may move up to a Tier 3 associate(PA-Process Assistant) (there is not a tier 2 associate position in the fulfillment DC). They have restricted stocks as a benefit. Once a year they offer cash to those who want to quit Amazon. You cannot return if you take the money. People and most of manag??Show More,Really loyal place to work like a family.
Learned a lot in a short period of time. They said 1 year at Amazon is like 5 years somewhere else. I felt that way during my 4 years.,"Great people, awesome culture (people are Googley), gourmet food."
I worked in the Biz Dev side of the AWS partner team for 2.5 years and loved it. The pace of innovation at AWS is mind blowing. The products and services that the team works with are market leading and the opportunity before AWS is staggering. I thoroughly enjoyed my 2.5 years there and would have happily stayed for me. I was scooped up by an AWS partner to lead an even bigger opportunity.,A lot of freedom for charting your own path. A lot more encouragement to make yourself productive than being pressured to be productive.
"You're working with the smartest people in the industry on a lot of tough problems, so expectations are high. But there is a lot to learn if you pay attention, and the teammates are very supportive",Great area and good pay
"Easy, no customers. When you become a problem solver you have to use your head a bit which is nice. Stressful but I enjoy it",free food management cares about their employees.
"Working in Customer Service has many areas for specialization; retail, Prime Now, Amazon Logistics, to name a few. There are multiple helpful resources to find answers to problems. There are always new projects developing. Frequent overtime opportunities. Individuals can make exceptions to policies when it's in the customers best interest.",Very good atmosphere to work
Fast paced and rewarding. People were focused on results and our team was driven to deliver on those results. Great teamwork.,"tons of perks, dog friendly"
Met a lot of nice people; casual environment - don't have to wear suit and high heel shoes. Health care in the facility.,"high salary, good insurance and benefits"
You get paid on time. You can take a lunch break. You get health insurance.,many money and good benefit.
